id|title|url|price|sellerId|advertType|distance|city|c2type|monitortype|target_price|margin|date
m1836423693|Concept 2 Roeier met PM5 monitor|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836423693-concept-2-roeier-met-pm5-monitor|950|1932189|PACKAGE_FREE|99|Arnhem||PM5|0|0|2022-04-28T16:20:01Z
m1836432655|Roeitrainer D PM5 CONCEPT 2|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836432655-roeitrainer-d-pm5-concept-2|NaN|5158271|PACKAGE_FREE|42|Utrecht|D|PM5|800|0|2022-04-28T16:46:25Z
m1836458738|concept 2 roeitrainer model d     mp3|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836458738-concept-2-roeitrainer-model-d-mp3|NaN|461611|PACKAGE_FREE|28|Capelle aan den IJssel|D||0|0|2022-04-28T17:59:31Z
m1836654238|Concept 2, roeitrainer, roeier|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836654238-concept-2-roeitrainer-roeier|450|7299491|PACKAGE_FREE|22|Delft|||0|0|2022-04-29T11:00:45Z
m1836793971|Stride roeitrainer (Concept 2)|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836793971-stride-roeitrainer-concept-2|550|7465403|PACKAGE_FREE|70|Zwartebroek|||0|0|2022-04-29T16:18:23Z
m1836795437|Roeitrainer CONCEPT 2 PM5 DISPLAY|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836795437-roeitrainer-concept-2-pm5-display|449|44642917|PACKAGE_FREE|74|Rhenen||PM5|0|0|2022-04-29T16:22:47Z
m1837000389|Concept 2 roei apparaat|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1837000389-concept-2-roei-apparaat|NaN|12429680|PACKAGE_FREE|24|Monster|||0|0|2022-04-30T09:26:26Z
m1837042257|Concept 2 roeitrainer, roeitrainer, roeier, concept 2|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1837042257-concept-2-roeitrainer-roeitrainer-roeier-concept-2|400|7299491|PACKAGE_FREE|22|Delft|||0|0|2022-04-30T10:43:24Z
m1837090711|Roeitrainer Concept 2, met MP5 monitor|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1837090711-roeitrainer-concept-2-met-mp5-monitor|NaN|6506295|PACKAGE_FREE|42|Weesp|||0|0|2022-04-30T12:12:09Z
m1837397713|Roeitrainer CONCEPT 2 MODEL E MET PM4 DISPLAY|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1837397713-roeitrainer-concept-2-model-e-met-pm4-display|649|44490000|PACKAGE_FREE|76|De Klomp|E|PM4|750|101|2022-05-01T09:10:22Z
m1837399839|Roeitrainer CONCEPT 2 ZGAN|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1837399839-roeitrainer-concept-2-zgan|445|44490000|PACKAGE_FREE|76|De Klomp|||0|0|2022-05-01T09:14:33Z
